,R_i,M_i,|R_i - M_i|
1,2,2,0
2,2,2,0
3,3,2,1
4,5,2,3
5,13,20,7
6,16,28,12
7,18,37,19
8,32,46,14
9,51,46,5
10,85,68,17
11,107,88,19
12,127,108,19
13,181,134,47
14,188,173,15
15,209,211,2
16,289,262,27
17,350,316,34
18,420,374,46
19,459,426,33
20,516,492,24
21,544,539,5
22,601,584,17
23,675,627,48
24,702,676,26
25,770,729,41
26,815,775,40
27,832,829,3
28,869,872,3
29,880,916,36
30,933,981,48
31,1028,1025,3
32,1064,1076,12
33,1102,1121,19
34,1135,1166,31
35,1135,1217,82
36,1233,1250,17
37,1233,1303,70
38,1299,1363,64
39,1299,1398,99
40,1299,1437,138
41,1403,1479,76
42,1404,1503,99
43,1440,1542,102
44,1440,1572,132
45,1558,1615,57
46,1558,1633,75
47,1558,1650,92
48,1607,1665,58
49,1607,1686,79
50,1628,1703,75
51,1628,1718,90
52,1738,1734,4
53,1738,1747,9
54,1738,1756,18
55,1790,1770,20
56,1790,1785,5
57,1804,1799,5
58,1804,1809,5
59,1823,1819,4
60,1823,1825,2
